path,species,health,is_aug,species_idx,health_idx,split
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(74)_aug0_111579.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose491.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease11_aug6_783300.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose489.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(122)_aug0_069403.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose642.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease9_aug11_250280.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease26_aug5_012038.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower432.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose174.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose501.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(43)_aug2_765990.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose265.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose43.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease19_aug0_784309.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower565.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower34.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose431.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower530.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(89)_aug1_523481.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(50)_aug0_813694.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(6)_aug0_396922.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily52.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose62.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose553.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower476.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease19_aug16_071849.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(1).png,rose,diseased,False,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose500.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(120)_aug1_230914.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(79)_aug2_172634.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily578.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease13_aug12_691798.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease9_aug4_331737.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(89)_aug0_687277.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease2_aug2_661759.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose537.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower21.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose286.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease3_aug16_681446.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease7_aug7_146316.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily505.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower166.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(88)_aug1_292075.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower296.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease7_aug12_935518.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(51).png,rose,diseased,False,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower189.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/sunflower_(3)_aug0_160263.jpg,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily694.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(7)_aug0_708011.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(101)_aug0_103198.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease10_aug7_167753.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily553.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(64)_aug2_560086.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease21.jpeg,lily,diseased,False,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(118)_aug0_970342.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(31)_aug2_674079.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease6_aug15_702729.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(51)_aug0_224130.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose508.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(33)_aug2_171339.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(52)_aug0_244098.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily291.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower51.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose341.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease31.jpeg,lily,diseased,False,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(64)_aug1_173148.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose256.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily686.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose467.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily589.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily632.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose254.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(24)_aug2_631262.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily331.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose452.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease17_aug15_231148.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(52)_aug2_999816.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower24.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(140)_aug0_943313.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease3_aug1_553306.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower465.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily186.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose373.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(22)_aug1_902592.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(94)_aug2_277932.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease12_aug12_063556.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(93)_aug2_717870.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose469.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease6_aug12_388162.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily240.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(131)_aug2_409386.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease5_aug0_443555.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily184.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease15_aug0_509231.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease33_aug5_117301.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(49)_aug1_146316.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily127.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(122)_aug1_221231.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose25.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease9_aug6_273432.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily133.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(145)_aug1_529903.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower558.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease3_aug13_326858.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose250.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose423.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily43.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease15_aug8_397382.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease19_aug9_556926.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily231.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily623.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(64)_aug2_277932.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(90)_aug1_742225.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(26)_aug1_897546.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose313.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose173.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(78)_aug2_380612.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(121)_aug2_980957.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease33_aug12_251083.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(75)_aug0_442666.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease17_aug12_735392.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose374.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose104.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily652.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(131).png,sunflower,diseased,False,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(7)_aug1_443143.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease35_aug6_076066.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease3_aug2_914812.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose247.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(44)_aug1_874628.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily574.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease21_aug4_006814.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/healthy/sunflower278.jpg,sunflower,healthy,False,2,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose198.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose252.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily598.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(102)_aug2_674079.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/sunflower/diseased/aster_yellow_(119)_aug2_208573.png,sunflower,diseased,True,2,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily353.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease9_aug13_415011.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(145)_aug2_631262.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose641.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/diseased/powdery_mildew_(5)_aug1_916964.png,rose,diseased,True,1,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/rose/healthy/rose111.jpg,rose,healthy,False,1,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily675.jpeg,lily,healthy,False,0,0,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease26_aug10_927767.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/diseased/lily_disease11_aug9_941435.jpeg,lily,diseased,True,0,1,train
/Users/sakshisingh/Sakshi/Projects/Flower Recognition & Disease Detection/data/Lily/healthy/lily8.jpeg,lily,healthy,False,0,0,train
